Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
EFX,2.82,3.00,4.25,D+,B-,A-,D,B-,-,2.20028,1697115180,4/21/2026,1.86,0.16442,1648900000,30523580,1.18%,25.78%,B+,C-,B+,A,3.88,20700738000,20.15,3.38,13.46,4.57,5.99%,7.47%,12.21%,15.99%,9.25%,9.55%,16.31%,30.71%,56.12%,5.85%,14.37%
EHC,3.75,4.00,4.91,C+,C-,A-,C,A-,8/3/2026,1.4763,1573614010,4/30/2026,1.6,0.10593,1586600000,18936540,0.69%,9.67%,C-,C-,A,A,3.37,10685250000,18.15,1.77,9.98,4.23,30.97%,10.88%,13.54%,20.03%,8.91%,10.05%,4.65%,23.47%,43.49%,8.33%,25.23%
ELS,2.27,3.33,4.22,D-,B+,B-,C,C-,-,0.43973,378597400,4/21/2026,0.5394,0.01009,397622000,457270,3.32%,68.00%,A+,D,B+,C-,-,12587486000,31.32,7.85,20.85,6.92,10.68%,1.83%,3.50%,2.73%,2.41%,0.30%,31.07%,48.23%,53.27%,6.70%,21.85%
ELV,3.30,3.66,4.13,B,D-,A+,B,B,7/15/2026,6.20456,48626975280,4/22/2026,12.58,1.76874,49494000000,1586561250,1.84%,22.25%,B,B+,B,A-,-,80932080000,13.85,0.41,12.09,1.85,-4.89%,7.65%,-4.01%,-8.15%,4.25%,9.44%,2.14%,4.26%,25.89%,4.17%,12.09%
EMBJ,2.81,4.50,4.57,C-,B,C,C,C+,5/8/2026,0.23764,1418642890,3/6/2026,0.8366,-0.4427,2651800000,118085180,0.34%,6.81%,-,-,-,-,1.65,10959686000,22.18,1.49,15.09,3.25,NM,21.33%,25.58%,2.09%,16.26%,18.23%,2.12%,10.00%,17.57%,2.75%,9.56%
EMN,2.87,4.00,4.00,B,F,B-,C,C-,-,1.6726,2346097480,4/30/2026,1.09,0.02577,2177000000,-1265550,4.31%,54.59%,A,A-,B-,B+,2.43,8861614000,13.13,1.03,10.04,1.48,-16.77%,-5.63%,-4.72%,-56.03%,-0.36%,-7.72%,4.56%,15.82%,19.79%,2.69%,7.99%
EMR,3.82,3.00,4.03,D,C-,A,C,B,5/5/2026,1.53343,4593865400,2/3/2026,1.46,0.04793,4346000000,-2680270,1.58%,35.16%,A+,C+,B+,A-,4.07,77246900000,21.17,4.25,15.24,3.81,-20.86%,9.06%,9.19%,14.97%,4.46%,3.63%,15.83%,32.32%,52.76%,5.52%,9.65%
ENB,3.20,3.71,3.47,D,D,A-,D+,D+,5/8/2026,0.689587138,13320556356,2/13/2026,0.646198809,0.07694136,12613360160,3331013743,4.99%,125.73%,C-,B-,C+,C+,0.85,1.19744E+11,25.30,2.52,16.08,2.96,35.62%,6.94%,6.06%,37.61%,8.49%,21.92%,-0.37%,26.82%,41.66%,3.43%,11.55%
EOG,3.41,3.33,3.78,C,D,A+,C,B-,5/6/2026,3.20202,5991020770,2/24/2026,2.27,0.07418,5638000000,137039380,2.90%,39.23%,B+,C+,B+,A-,3.48,74437710000,9.27,3.33,6.84,2.50,-13.74%,-8.54%,6.78%,-18.93%,2.86%,-3.51%,10.27%,51.75%,62.02%,9.61%,16.83%
EPAM,3.11,4.00,4.21,A-,D-,B,D-,B+,5/7/2026,2.75461,1394348270,2/19/2026,3.26,0.10191,1407548000,16280140,-,-,-,-,-,-,7.55,5926176300,8.80,1.15,6.75,1.66,-3.43%,4.19%,8.62%,-14.29%,9.46%,15.42%,13.29%,12.96%,28.88%,7.70%,10.33%
EPR,4.68,3.42,3.25,A-,A-,A,C+,A+,5/6/2026,0.65987,179931680,2/25/2026,0.8118,0.07331,182950000,1009690,6.46%,67.75%,B+,A-,B-,C+,-,4229116700,-,5.89,13.24,1.81,15.98%,2.90%,24.75%,105.00%,4.33%,3.74%,46.58%,77.02%,91.71%,4.82%,11.79%
EQR,2.79,3.00,3.60,D,C+,B,C,C-,7/28/2026,0.33361,791738310,4/28/2026,0.2331,-0.05287,779846000,-4394610,4.27%,69.38%,A-,C-,C-,C+,-,25025104000,47.11,7.93,17.60,2.29,1.27%,3.76%,-17.77%,-4.26%,3.37%,3.42%,45.78%,60.97%,62.78%,4.65%,8.67%
EQT,3.29,4.66,4.40,C,B-,A+,D,C+,7/21/2026,0.57824,1935139180,4/21/2026,2.33,0.23512,3378736000,206138040,1.10%,15.36%,D,D+,B+,B-,2.38,36690540000,12.10,3.87,6.00,1.46,-10.00%,-6.20%,42.61%,693.49%,22.43%,52.12%,26.73%,81.86%,80.97%,7.88%,13.40%
ES,2.83,4.00,3.43,B+,C-,A-,D+,D-,5/6/2026,1.62042,4327092910,2/12/2026,1.12,0.01802,3370196000,421632040,4.28%,63.10%,A,A,B,B,-,26711329000,15.09,1.95,12.13,1.65,6.40%,3.30%,3.07%,100.88%,5.97%,13.83%,5.62%,34.67%,53.62%,2.65%,10.78%
ESAB,1.47,3.00,4.77,D+,C,C,D,C-,5/7/2026,1.33541,703445090,2/20/2026,1.35,0.00876,687600000,-228570,0.41%,9.88%,D,D,B-,A,3.00,5962736000,16.97,2.09,13.01,2.75,0.45%,3.10%,8.22%,-12.39%,5.33%,3.71%,5.83%,19.38%,36.88%,4.76%,12.89%
ETR,3.19,3.50,4.24,D-,B,B-,A,B-,7/31/2026,1.10506,3596752500,4/29/2026,0.86,0.019,3187626000,280642720,2.16%,46.58%,A-,D,C,A-,-,53305390000,26.46,3.93,15.29,3.95,16.14%,-1.41%,11.10%,26.79%,8.19%,11.36%,-29.40%,41.40%,46.98%,2.35%,10.75%
ETSY,3.40,3.00,3.35,D+,C,B,B+,A+,8/5/2026,1.23783,644595690,4/29/2026,1.17982,0.00582,612204000,-5554690,-,-,-,-,-,-,1.54,5994595000,11.16,2.17,17.41,NM,NM,3.37%,18.63%,47.44%,0.68%,4.61%,5.71%,15.12%,71.55%,10.62%,NM
EVR,3.13,4.00,4.00,F,A-,B,C+,B,7/22/2026,2.50516,872081230,4/29/2026,7.53,2.10382,1401520000,234298810,1.06%,18.37%,A-,D-,A+,A+,-,13370264000,16.56,2.70,-,6.01,22.95%,20.36%,34.74%,69.51%,21.33%,47.16%,-,-,94.13%,13.94%,30.07%
EVRG,2.44,4.00,4.00,C+,C-,C,C+,D-,5/7/2026,0.60628,1230670710,2/19/2026,0.42,-0.13451,1340200000,-87340050,3.30%,70.80%,A+,B-,B-,A-,-,19023774000,19.49,3.19,12.56,1.86,4.36%,0.58%,6.02%,-3.43%,4.23%,1.95%,-14.46%,45.98%,52.27%,2.52%,8.57%
EWBC,3.41,3.50,4.37,D-,B+,B,A,A+,7/21/2026,2.65281,790935640,4/21/2026,2.57,0.10284,773749000,22353040,2.07%,26.03%,B+,C-,B-,B-,-,17234663000,11.82,6.25,-,1.92,4.72%,6.37%,10.85%,19.45%,9.15%,15.68%,-,-,-,1.68%,16.45%
EXPD,3.04,4.00,2.68,D,D-,A-,B-,B-,5/5/2026,1.32851,2616511380,2/24/2026,1.49,0.03467,2855954000,23840450,1.05%,25.93%,A+,C-,A+,A,8.01,19579236000,24.38,1.81,16.98,8.37,-15.80%,-13.45%,4.17%,4.02%,3.04%,4.42%,7.25%,10.02%,13.43%,16.56%,35.43%
EXPE,3.32,3.75,3.81,D+,B-,A+,B+,A-,5/7/2026,1.39091,3352998460,2/12/2026,3.78,0.41131,3547000000,136486780,0.67%,10.01%,-,D,-,-,1.46,30226360000,12.96,2.14,14.01,24.03,54.33%,8.09%,24.12%,9.61%,7.63%,7.61%,19.91%,15.62%,90.12%,5.29%,48.67%
EXR,2.70,3.50,3.61,C-,B+,B+,C-,D+,7/28/2026,1.1588,739480800,4/28/2026,1.14,0.03744,733213000,5495000,4.56%,78.80%,C-,C,B-,C-,-,31341280000,30.97,8.64,19.63,2.25,3.42%,19.74%,6.27%,4.49%,2.89%,3.42%,33.16%,65.45%,74.81%,3.24%,6.83%
FAF,4.67,4.00,4.60,B+,C+,B,B,A,7/22/2026,1.83904,2046530280,4/22/2026,1.33,0.27713,1838000000,47852690,3.20%,33.44%,B+,B-,B-,A-,-,6982188000,9.97,0.92,5.81,1.27,47.18%,3.18%,18.20%,328.14%,11.22%,22.62%,22.21%,16.52%,63.87%,3.75%,12.80%
FCX,4.11,3.71,4.31,C+,B,A,B,C,7/23/2026,0.56347,6521200020,4/23/2026,0.57,0.10259,6234000000,292825750,0.53%,28.85%,D,D+,B-,B+,2.49,81292360000,21.67,3.08,10.77,4.06,1.62%,7.00%,35.62%,56.19%,10.08%,6.27%,5.29%,35.14%,37.10%,4.64%,15.63%
FDS,3.03,4.28,2.83,D-,D,B+,D-,B,6/18/2026,4.4526,617459730,3/31/2026,4.46,0.08291,611019000,6073670,1.93%,25.45%,A,D,A-,A,5.88,8290995700,12.85,3.55,10.50,3.92,9.50%,6.14%,5.69%,10.41%,5.72%,6.51%,24.58%,37.91%,51.94%,13.93%,28.08%
FDX,4.92,3.25,4.10,C,C+,A+,A,A-,6/23/2026,5.87544,23826371730,3/19/2026,5.25,1.06739,24000000000,490352820,1.47%,29.04%,B,C+,B,A,2.52,93932320000,20.00,1.01,11.05,3.16,14.44%,-0.25%,7.89%,17.84%,3.76%,4.69%,0.97%,12.57%,27.55%,4.73%,15.87%
FERG,2.97,3.00,4.21,D,C-,B+,B,C,6/2/2026,2.20069,7443967120,12/9/2025,2.1,0.01145,7495000000,32474770,1.62%,-,C,C-,A,A,5.36,51372225000,23.73,1.68,19.04,8.80,-3.21%,1.62%,8.57%,18.63%,5.24%,4.92%,4.17%,9.69%,30.62%,11.00%,33.40%
FFIV,3.37,3.50,3.38,D+,F,A,B,A+,7/29/2026,3.99925,835528650,4/28/2026,3.9,0.44448,811700000,29422000,-,-,-,-,-,-,5.30,18342570000,19.60,5.76,18.92,5.03,29.49%,5.09%,9.35%,15.72%,7.35%,9.69%,24.23%,28.08%,81.54%,10.90%,20.34%
FHI,3.03,4.00,3.12,D+,D,B+,A-,C+,7/30/2026,1.23548,487050000,4/30/2026,1.27,0.06712,478957000,4629670,2.51%,26.36%,B,C-,A+,A-,4.96,3919967500,10.18,2.15,7.13,3.26,16.32%,7.28%,20.62%,43.76%,7.74%,11.86%,21.33%,28.60%,68.29%,18.59%,33.76%
FITB,3.10,3.50,4.28,C-,C+,B+,B+,D,7/17/2026,0.98036,3257550680,4/17/2026,0.83,-0.00103,2834000000,-4470430,3.11%,41.98%,A,B-,D+,B-,-,45680652000,12.25,3.96,-,1.43,-4.71%,3.84%,15.76%,-9.93%,17.56%,13.82%,-,-,-,0.73%,7.97%
FLS,3.20,4.00,4.36,D+,C-,B,B-,B+,-,0.89398,1171578300,4/29/2026,0.85,0.04941,1068269000,-99211700,1.19%,22.55%,C,C+,D+,A-,3.95,9157373000,17.54,1.99,13.92,4.13,15.25%,7.22%,20.90%,27.21%,4.95%,0.83%,9.90%,15.93%,35.53%,6.18%,17.09%
FNF,2.80,4.00,4.40,A-,C-,A-,D,D+,5/6/2026,1.09015,3612968790,2/19/2026,1.41,-0.08655,4051000000,392014140,3.85%,40.56%,-,A,-,-,-,13998833000,8.80,0.96,8.65,1.88,-22.51%,7.72%,11.70%,-52.47%,6.94%,5.77%,14.12%,14.30%,53.51%,0.55%,7.76%
FOX,2.07,4.00,3.66,D+,D-,B+,C+,F,5/11/2026,1.08,3806955070,2/4/2026,0.82,0.28,5182000000,156188150,0.98%,11.70%,-,C-,-,-,3.17,25506253000,12.66,1.70,8.82,2.47,7.86%,5.09%,16.86%,-10.65%,6.72%,9.20%,10.65%,21.31%,35.44%,8.81%,16.82%
FOXA,3.19,4.00,3.78,D+,D-,B+,B-,A-,5/11/2026,0.96808,3806955070,2/4/2026,0.82,0.30299,5182000000,156188150,0.88%,11.70%,C-,D+,B,B+,3.17,25506253000,13.68,1.70,8.82,2.47,7.86%,5.09%,14.57%,-10.65%,6.72%,9.20%,10.65%,21.31%,35.44%,8.81%,16.82%
FR,3.00,3.66,3.93,D-,A,B+,B+,C,7/15/2026,0.45243,193802270,4/22/2026,1.08,0.75146,194827000,3774610,2.95%,63.50%,A,D,A,B-,-,8514202000,-,11.05,21.35,2.99,-3.31%,9.75%,-4.15%,28.53%,8.17%,8.65%,32.07%,68.39%,73.53%,5.93%,12.84%
FRPT,2.66,2.50,4.38,D-,D,D+,B,C-,5/6/2026,0.08861,291534540,2/23/2026,0.6171,0.25132,285229000,-491850,-,-,-,-,-,-,4.99,3196075000,48.52,2.89,18.58,2.64,NM,22.78%,29.42%,183.94%,10.42%,13.01%,-0.30%,16.67%,40.80%,7.83%,12.29%
FRT,3.85,3.66,3.89,D+,B+,B,B+,B+,-,0.725,331810410,5/1/2026,-,-,-,-,3.89%,-,A+,C-,C,C,-,10022876000,39.57,7.73,18.65,3.22,2.17%,5.87%,-2.28%,36.81%,5.81%,6.24%,36.42%,63.59%,67.92%,4.50%,12.24%
FSLR,2.85,3.83,3.82,A-,B-,A,C+,D,-,2.98,1166900820,4/30/2026,3.22,0.38928,1044240000,-3319420,-,-,-,-,-,-,5.66,22748400000,11.86,4.19,9.20,2.30,241.95%,24.61%,23.96%,31.50%,12.91%,27.30%,21.42%,41.94%,41.74%,12.47%,18.44%
FTDR,3.90,4.00,4.14,C,A,A,A-,B+,8/3/2026,1.7525,641184000,4/30/2026,0.73,0.0534,451000000,8725710,-,-,-,-,-,-,3.55,4852285000,15.31,2.34,10.91,21.10,41.72%,8.07%,13.22%,14.24%,7.82%,12.00%,15.68%,23.51%,55.24%,11.97%,121.03%
FTI,3.43,2.00,4.04,F,B-,B+,A,B-,7/23/2026,0.782,2656896090,4/30/2026,0.64,0.08016,2492700000,-30641930,0.26%,7.22%,F,F,C+,A-,2.28,30313064000,26.01,3.03,15.55,9.02,NM,13.95%,23.95%,33.96%,7.73%,9.65%,11.45%,18.79%,22.29%,10.73%,33.41%
FTS,3.30,-,3.18,C,D+,C,B-,A-,5/6/2026,0.73036,2606722087,2/12/2026,0.66227,0.04419,2261675653,-43132314.27,3.16%,70.83%,A,B-,B-,C+,-,29119642000,21.51,3.25,13.92,1.80,8.87%,3.29%,7.09%,4.94%,7.67%,5.75%,-21.64%,46.25%,45.60%,2.40%,7.58%
FUL,4.36,3.00,4.28,C+,C-,B-,C-,A-,-,1.37602,922772600,3/25/2026,0.57,0.01509,770844000,-14166010,1.58%,21.91%,A+,C,B-,B,2.21,3266513200,12.71,0.95,9.19,1.58,-0.85%,-2.27%,10.22%,45.27%,1.71%,-2.57%,5.96%,16.96%,31.88%,3.06%,8.32%
FUTU,4.41,4.00,4.78,C,B,B+,C-,A+,5/22/2026,3.365664044,739480894.7,3/12/2026,3.114884375,0.065913195,822597547,15171242.73,1.68%,23.54%,-,-,-,-,-,21709115000,12.62,7.96,-,4.22,57.05%,42.28%,40.04%,106.38%,28.97%,76.14%,-,-,94.38%,4.96%,33.08%
FWONK,2.79,3.50,4.56,D-,C+,B-,C-,C+,5/7/2026,-0.01721,670373510,2/26/2026,0.377,0.02472,1609000000,58726680,-,-,-,-,-,-,3.22,21853067000,54.67,4.91,26.70,2.84,-0.18%,20.32%,NM,NM,12.68%,22.69%,14.82%,22.24%,33.71%,3.60%,7.69%
GBX,2.75,3.50,2.66,A,F,C,C+,F,-,0.60333,617569730,4/7/2026,0.47,-0.35333,587500000,-76170620,2.60%,27.06%,C-,A,C,B+,1.95,1548167300,15.89,0.54,8.96,0.99,55.16%,-7.28%,-6.41%,-25.28%,-7.73%,-17.53%,4.67%,11.74%,16.16%,3.42%,9.31%
GD,2.95,4.00,3.83,C-,D+,A+,C+,D+,7/29/2026,4.01163,13553970000,4/29/2026,4.1,0.40841,13481000000,773597000,1.76%,38.33%,A+,B-,A,A,4.01,93384820000,20.35,1.73,15.31,3.58,8.59%,10.49%,9.84%,10.29%,7.10%,9.35%,10.42%,12.09%,15.06%,7.35%,17.97%
GDDY,2.60,3.50,3.88,B+,C,A+,D,C-,-,1.74,1290991900,4/30/2026,2.047,0.08258,1266900000,4124710,-,-,-,-,-,-,1.93,11512783000,9.16,2.35,10.75,48.86,38.00%,6.79%,11.16%,21.46%,6.68%,7.83%,25.93%,26.11%,63.77%,10.67%,398.22%
GEHC,2.95,3.66,4.05,C-,D+,A,D+,B,-,1.03595,5264334180,4/29/2026,0.99,-0.05997,5131000000,103430890,0.29%,3.07%,D-,D+,B,C+,1.89,27762045000,12.50,1.33,10.31,2.60,3.62%,3.90%,6.22%,-12.39%,5.00%,5.96%,8.19%,16.79%,39.14%,5.14%,19.46%
GEV,3.49,3.70,4.45,F,A+,A+,A+,A,7/23/2026,2.90576,10707759530,4/22/2026,2.0108,0.34039,9339000000,88410950,0.16%,8.28%,F,F,B,A+,2.36,2.85636E+11,70.81,7.30,82.21,20.52,NM,8.68%,63.16%,393.46%,14.09%,10.27%,23.66%,8.67%,20.28%,12.40%,75.71%
GGG,2.10,3.00,3.54,D,D,A,C,D-,-,0.81,607529900,4/22/2026,0.66,-0.082,540144000,-20506780,1.44%,39.18%,A+,C,A+,B-,16.59,13143020000,25.58,5.83,17.32,4.79,1.83%,1.05%,6.82%,8.16%,5.22%,4.61%,23.00%,32.06%,52.31%,15.48%,19.78%
GILD,3.09,3.00,4.30,C,C-,A+,B-,D+,5/7/2026,1.9096,6924987160,2/10/2026,1.86,0.05102,7925000000,243905550,2.42%,38.77%,C+,A-,A+,B,3.90,1.63407E+11,15.40,5.56,12.09,7.20,22.83%,2.57%,27.69%,1684.21%,3.68%,2.40%,25.61%,49.51%,78.84%,14.42%,40.66%
GM,4.90,3.90,4.11,B+,B+,A+,A-,A,7/21/2026,3.22589,47054747130,4/28/2026,3.7,1.06072,43624000000,77891090,0.83%,5.46%,D-,B,B-,B,1.29,68319170000,5.93,0.38,9.55,1.09,-35.33%,4.73%,9.77%,-63.28%,0.73%,-2.03%,12.17%,9.91%,11.14%,0.90%,4.01%
GMED,4.65,4.00,4.07,C-,C-,A,A-,A,5/7/2026,0.92008,740828360,2/24/2026,1.28,0.12638,826420000,23130550,-,-,-,-,-,-,9.47,12391689000,20.42,4.20,13.55,2.70,41.42%,42.17%,17.64%,422.67%,10.43%,16.65%,11.14%,29.84%,68.07%,10.14%,12.29%
GOOG,3.49,4.08,4.62,F,B,A+,A,A,-,2.86423,1.16313E+11,4/29/2026,5.11,2.47732,1.09896E+11,2862497810,0.22%,4.81%,-,F,-,-,10.03,4.65946E+12,29.19,11.04,28.70,9.75,39.84%,14.08%,20.41%,46.25%,17.07%,17.45%,7.06%,38.17%,60.37%,22.76%,38.88%
GOOGL,3.49,4.04,4.64,F,B,A+,A,A,-,2.86484,1.16313E+11,4/29/2026,5.11,2.47732,1.09896E+11,2862497810,0.22%,4.81%,F,F,A+,A+,10.03,4.65946E+12,29.44,11.04,28.70,9.75,39.84%,14.08%,20.44%,46.25%,17.07%,17.45%,7.06%,38.17%,60.37%,22.76%,38.88%
GPN,3.18,4.20,3.63,B+,B,B+,D+,C+,5/6/2026,2.8182,2830684160,2/18/2026,3.18,0.0195,2320316000,-3282600,1.38%,8.18%,C+,C,C+,B+,0.98,19916585000,5.27,2.27,10.08,0.75,132.44%,-4.96%,11.95%,-12.10%,12.87%,-0.39%,22.69%,44.63%,72.64%,2.62%,4.82%
GRMN,3.37,2.66,3.25,F,C+,A-,A-,A,-,2.27298,1945224430,4/29/2026,2.08,0.24157,1753489000,41185120,1.49%,46.51%,B,D-,A,B+,17.67,46752203000,25.57,6.25,19.69,5.04,21.65%,15.57%,11.08%,18.08%,11.47%,15.71%,11.50%,29.03%,59.14%,15.85%,19.90%
GS,3.22,3.50,3.46,D-,A-,F,A-,B-,7/14/2026,13.75907,15772077690,4/13/2026,17.55,1.15759,17227000000,293832810,1.68%,28.33%,A-,D,B+,A+,-,2.83211E+11,15.62,4.63,-,2.57,19.62%,11.26%,17.26%,27.09%,7.68%,16.00%,-,-,82.27%,0.88%,14.59%
GSK,3.21,4.25,3.00,B,D-,A+,B,B,7/29/2026,1.25173,11301549042,4/29/2026,1.25611,0.09179,10281116921,-19922370.52,3.45%,19.07%,B,A,A-,D-,2.09,1.03002E+11,10.68,2.40,8.17,4.39,-26.44%,4.07%,9.55%,86.56%,7.13%,3.97%,9.21%,34.88%,72.87%,9.27%,40.91%
HAE,3.11,-,3.90,B-,D+,A,C+,A-,5/7/2026,1.2724,336864640,2/5/2026,1.31,0.05967,338967000,6244470,-,-,-,-,-,-,2.50,2753892000,11.99,2.15,9.91,3.04,22.36%,5.29%,10.14%,43.83%,2.05%,-4.02%,25.42%,27.68%,60.21%,7.04%,19.30%
HALO,2.82,4.50,3.88,C+,C+,A+,C+,B-,5/11/2026,1.52,359053400,2/17/2026,-0.24,-2.438,451767000,5627170,-,-,-,-,-,-,3.78,7577616400,7.91,5.49,10.71,154.33,16.17%,28.38%,32.60%,-25.36%,25.27%,37.55%,13.23%,64.29%,77.78%,12.55%,153.59%
HCA,3.19,3.50,4.04,B-,D,A+,C+,B,-,7.38896,19356802290,4/24/2026,7.15,0.02066,19109000000,36016360,0.68%,10.15%,C-,C,A+,B+,2.62,96076595000,14.34,1.31,9.52,NM,5.82%,7.86%,14.71%,29.35%,5.28%,6.71%,7.50%,20.38%,41.61%,11.06%,NM
HCC,3.15,3.50,4.14,D-,B,C-,B+,B+,-,1.75081,496159350,4/30/2026,1.3713,-0.06384,458588000,-4779280,0.37%,12.21%,D,D,B+,A-,5.33,4551529500,10.90,3.09,13.27,2.06,-41.23%,-7.70%,20.58%,29.61%,13.14%,11.25%,-12.60%,23.33%,28.23%,4.87%,6.42%
HD,3.20,2.50,4.11,D-,D-,A+,C-,B-,5/19/2026,3.4118,41537562810,2/24/2026,2.72,0.1968,38198000000,95072390,2.85%,62.79%,A,C,A+,A,5.93,3.22593E+11,21.52,1.95,15.48,25.18,-6.11%,1.52%,3.02%,-4.56%,3.76%,3.24%,5.24%,15.19%,33.32%,13.47%,145.54%
HLI,1.84,3.00,3.40,F,B+,B-,D-,D+,5/6/2026,1.7883,679021580,1/28/2026,1.94,0.06714,717072000,13153220,1.57%,30.08%,C+,D-,A,A,-,10682734000,19.74,3.85,-,4.65,19.91%,12.99%,23.83%,24.52%,15.74%,18.04%,-,-,94.63%,11.37%,20.47%
HON,3.13,3.33,3.96,D,D,A,C,B-,-,2.42009,9559135490,4/23/2026,2.45,0.12892,9143000000,-143066900,2.12%,43.73%,-,B-,-,-,3.32,1.34651E+11,20.19,3.59,18.89,9.91,-7.76%,1.56%,5.08%,-14.73%,2.80%,9.04%,7.80%,22.64%,36.93%,5.54%,24.26%
HQY,3.57,4.00,4.40,D+,C,A,C,B+,6/2/2026,1.11436,352170990,3/17/2026,0.95,0.05216,334586000,1770740,-,-,-,-,-,-,4.80,6961020400,17.81,5.40,15.85,3.32,NM,15.08%,19.62%,125.69%,8.39%,9.47%,25.74%,36.71%,69.52%,6.37%,10.19%
HSBC,4.89,3.00,3.66,C+,B,A+,A,B+,5/5/2026,-,18535045670,2/25/2026,1.85,-0.44645,17723000000,1083954750,4.08%,-,D,A-,C-,C-,-,3.16407E+11,10.83,5.09,-,1.78,12.72%,10.90%,14.51%,-3.23%,5.19%,3.24%,-,-,-,0.69%,11.63%
HSIC,3.17,4.00,3.62,B-,D-,B+,B-,B+,5/5/2026,1.21724,3342266340,2/24/2026,1.34,0.04511,3437000000,91067790,-,-,-,-,-,-,2.74,8483323400,13.91,0.68,13.02,2.64,-9.56%,1.40%,7.47%,7.21%,3.92%,4.03%,2.91%,7.76%,31.14%,3.55%,8.70%
HSY,4.54,3.00,3.32,D,B-,A-,B-,A,-,1.5101,2681682850,4/30/2026,2.35,0.30065,3104167000,77829410,3.05%,84.66%,C+,D,B+,B-,4.13,36958667000,21.70,3.09,18.49,7.83,-13.64%,3.74%,1.75%,-33.84%,3.95%,11.50%,12.39%,18.69%,35.03%,7.91%,23.23%
HTHT,4.43,4.00,4.76,C-,C,A,A,A-,5/18/2026,0.57036603,867228841.6,3/18/2026,0.590682923,0.23773013,949311839.8,20996283.77,4.14%,96.16%,F,B-,B,C-,1.73,15640208000,19.34,4.32,16.14,8.54,NM,22.22%,30.24%,65.70%,8.13%,5.93%,24.61%,31.91%,39.39%,7.84%,40.55%
HTO,2.89,3.66,4.50,C+,D,D-,B-,C-,7/27/2026,0.72,215300000,4/28/2026,0.5,-,183293000,6957480,3.00%,58.22%,A+,C,C,B,-,2373597200,20.77,2.50,13.20,1.29,8.77%,8.81%,-2.11%,-3.15%,7.35%,6.47%,-32.05%,38.01%,56.83%,1.96%,6.50%
HUM,2.97,3.50,3.38,B+,B,A-,C+,D,7/29/2026,6.41653,40624581690,4/29/2026,10.31,0.10743,39648000000,262878010,1.52%,22.32%,C-,C+,D-,A-,-,28049970000,26.50,0.20,11.16,1.51,-28.68%,12.78%,-2.38%,-33.91%,13.23%,14.08%,1.04%,2.45%,14.01%,2.04%,6.28%
HWC,3.08,4.00,4.25,C-,C+,C+,B-,B-,7/14/2026,1.55859,399005110,4/21/2026,1.52,0.02191,393643000,1139650,2.75%,31.79%,B+,C,C,C,-,5450980000,10.56,4.06,-,1.23,-7.73%,-1.05%,8.50%,-9.92%,4.94%,-1.16%,-,-,-,1.16%,9.52%
IBKR,4.25,3.66,4.30,C-,A,A+,A-,B,7/14/2026,0.60531,1692928800,4/21/2026,0.6,0.00062,1680000000,-801600,0.40%,13.73%,C,B,B,C+,-,1.36489E+11,32.26,5.54,-,6.42,31.64%,21.89%,17.52%,28.33%,13.98%,19.31%,-,-,93.02%,0.47%,23.56%
IBM,3.24,3.00,3.95,C,F,A+,D+,B,7/22/2026,2.97837,17830578450,4/22/2026,1.91,0.09877,15917000000,265602890,2.89%,56.57%,A+,A-,B,C+,3.28,2.18241E+11,18.69,3.15,16.64,6.62,80.36%,4.39%,9.16%,93.03%,5.96%,9.68%,18.98%,24.11%,58.36%,6.88%,35.77%
ICE,3.33,4.00,4.50,F,C,A,D+,B+,7/30/2026,1.93534,2701581600,4/30/2026,2.35,0.08856,2977000000,30640480,1.27%,19.00%,B-,D-,B,A-,0.72,87655160000,19.02,8.46,16.50,2.98,39.63%,12.70%,12.95%,42.11%,7.39%,10.28%,35.09%,62.65%,100.00%,2.19%,13.85%
IEX,2.83,3.00,4.00,D,D,B+,B+,D+,-,2.11114,906608550,4/29/2026,2,0.22873,886900000,39384770,-,25.98%,-,-,-,-,4.81,15908055000,25.31,4.56,18.02,3.94,-4.71%,2.52%,5.17%,7.36%,5.02%,7.54%,15.66%,27.07%,44.44%,7.34%,12.75%
ILMN,3.21,4.00,3.61,D-,D+,A,B,A-,7/30/2026,1.21982,1120804970,4/30/2026,1.15,0.07414,1091000000,15145830,-,-,-,-,-,-,3.73,20625920000,26.02,4.74,18.53,7.76,NM,-0.41%,33.81%,NM,3.25%,1.29%,21.90%,26.95%,68.34%,13.01%,33.82%
INCY,3.15,4.00,3.65,A-,A,A,B-,C-,7/28/2026,1.83605,1366798880,4/28/2026,1.81,0.47049,1272676000,61421850,-,-,-,-,-,-,7.94,19360889000,12.60,3.55,9.93,3.45,64.04%,15.60%,103.09%,7175.41%,13.66%,21.48%,10.42%,28.89%,52.77%,19.51%,30.82%
