Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
BALL,3.70,3.00,4.33,C-,B+,B+,C+,C+,5/5/2026,0.84449,3343316760,2/3/2026,0.91,0.01351,3347000000,233718450,1.30%,22.28%,C+,C-,C+,B+,2.44,16323167000,15.48,1.28,11.17,3.00,8.25%,-0.53%,12.34%,140.88%,6.95%,11.58%,6.71%,15.29%,19.59%,4.67%,16.12%
BBY,2.84,3.20,3.45,A-,C-,B+,D+,D+,5/28/2026,1.22701,8828859150,3/3/2026,2.61,0.14382,13814000000,-62998940,6.34%,59.01%,A,A,A-,B+,4.35,12557211000,9.26,0.30,5.69,4.24,-9.01%,-3.43%,3.26%,17.76%,0.68%,0.39%,2.02%,6.24%,22.48%,7.29%,37.04%
BDX,2.58,3.50,3.73,C+,F,A,D+,F,5/7/2026,2.77577,4667779050,2/9/2026,2.91,0.10874,5252000000,103494880,2.35%,30.00%,A+,B+,C-,B+,2.20,42514800000,11.97,1.95,10.15,1.68,2.93%,5.37%,0.91%,3.09%,-0.88%,6.22%,14.16%,27.56%,46.78%,3.20%,6.96%
BFAM,1.78,3.50,3.66,D+,C+,B,D,C+,5/5/2026,0.79695,713700960,2/12/2026,1.15,0.02787,733698000,6259180,-,-,-,-,-,-,2.82,4307908000,16.19,1.58,12.97,3.39,33.79%,13.24%,18.22%,40.00%,7.08%,9.22%,8.67%,15.57%,25.38%,4.96%,14.75%
BG,3.73,3.50,4.44,C,B+,D,A+,C+,-,1.92886,22756910290,4/29/2026,1.83,0.95604,21861000000,-1504878710,2.25%,38.11%,B,D+,D+,C,2.77,24176597000,13.21,0.28,17.99,1.51,-23.97%,6.50%,4.91%,-51.48%,20.76%,56.91%,-8.48%,2.77%,4.44%,1.44%,4.93%
BHP,3.46,3.66,3.25,B-,D+,A+,B,A,-,-,-,-,-,-,-,-,3.36%,-,C+,A-,B-,C-,3.03,2.01119E+11,15.95,3.72,8.50,3.99,-28.41%,-3.76%,-0.44%,-10.16%,0.16%,0.72%,15.07%,48.70%,83.09%,8.83%,24.71%
BIIB,3.20,3.33,3.94,B,D,A,B+,C+,7/29/2026,2.05486,2426405730,4/29/2026,3.57,0.68183,2477800000,229826060,-,-,-,-,-,-,3.12,27617000000,13.80,2.76,8.37,1.48,-24.05%,-0.55%,-0.11%,-8.10%,2.10%,1.23%,19.28%,35.38%,78.72%,4.65%,7.70%
BJ,2.58,3.00,3.86,D+,D+,B-,C+,C-,5/21/2026,1.04564,5370429310,3/5/2026,0.96,0.03026,5575388000,28065400,-,-,-,-,-,-,4.86,12126057000,20.65,0.57,13.36,5.52,4.07%,3.57%,6.60%,9.50%,5.62%,4.66%,0.92%,5.17%,18.64%,7.70%,28.60%
BK,3.44,3.50,3.87,D-,B+,A-,A,A,7/15/2026,2.1635,5343698950,4/16/2026,2.25,0.31935,5409000000,215696210,1.58%,25.18%,A-,D-,C+,A,-,91823790000,15.21,4.55,-,2.33,28.92%,7.11%,17.67%,31.41%,6.16%,9.68%,-,-,-,1.06%,13.47%
BKH,3.05,3.50,4.40,B,C,C,B+,B,5/6/2026,1.84333,903893870,2/4/2026,1.41,-,635500000,-174383850,3.62%,65.79%,A+,B+,B,B+,-,5742131700,17.35,2.39,12.67,1.49,4.11%,-3.26%,5.70%,1.79%,14.81%,8.57%,-12.09%,35.35%,38.47%,2.68%,8.00%
